City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
253,Socota,CO,6.0403,-72.6351,51.01,86,91,4.41,overcast clouds
254,Cuenca,EC,-2.8833,-78.9833,53.73,100,94,3.44,overcast clouds
255,Bam,IR,29.106,58.357,80.6,3,0,11.25,clear sky
256,Botngard,NO,63.7653,9.8111,49.77,87,75,33.38,broken clouds
257,Ndago,TZ,-4.6,34.35,86.47,15,44,8.97,scattered clouds
258,Olafsvik,IS,64.8945,-23.7142,40.19,94,100,15.17,light rain
259,Gat,IL,31.61,34.7642,81.79,10,1,13.51,clear sky
260,Ambilobe,MG,-13.2,49.05,90.12,32,10,15.86,clear sky
261,Muyezerskiy,RU,63.9333,31.65,48.96,91,100,14.2,light rain
262,Guarenas,VE,10.4674,-66.6066,81.14,93,88,1.7,overcast clouds
263,Kabwe,ZM,-14.4469,28.4464,91.18,10,0,14.63,clear sky
264,Lieksa,FI,63.3167,30.0167,51.3,89,100,18.39,moderate rain
265,Kentau,KZ,43.5206,68.5094,67.24,14,1,12.03,clear sky
266,Axim,GH,4.8699,-2.2405,82.27,67,81,6.13,broken clouds
267,Sabathu,IN,30.9719,76.9933,62.06,98,100,2.35,overcast clouds
268,Islamkot,PK,24.6997,70.177,99.3,17,81,16.33,broken clouds
269,Brokopondo,SR,4.75,-55.1667,79.48,71,12,7.61,few clouds
270,Borujerd,IR,33.8973,48.7516,82.63,10,1,2.33,clear sky
271,Akdepe,TM,42.0551,59.3788,69.89,24,1,9.53,clear sky
272,Inongo,CD,-1.95,18.2667,79.11,69,81,1.34,broken clouds
273,Ibra,OM,22.6906,58.5334,94.84,17,3,12.5,clear sky
274,Lefka,CY,35.1106,32.8506,77.07,49,3,13.24,clear sky
275,Camana,PE,-16.6228,-72.7111,60.42,72,28,5.28,scattered clouds
276,Santiago De Cao,PE,-7.9589,-79.2392,59.13,88,100,8.05,fog
277,Belmopan,BZ,17.25,-88.7667,73.78,99,100,2.98,overcast clouds
278,Sucua,EC,-2.4667,-78.1667,67.8,88,100,1.16,overcast clouds
279,Los Llanos De Aridane,ES,28.6585,-17.9182,75.13,68,20,16.11,few clouds
280,Kruisfontein,ZA,-34.0033,24.7314,78.22,35,70,11.92,broken clouds
281,Alvaraes,BR,-3.2208,-64.8042,76.87,57,54,3.09,broken clouds
282,Cabedelo,BR,-6.9811,-34.8339,83.07,60,27,15.61,scattered clouds
283,Pemba,MZ,-12.974,40.5178,83.1,51,20,11.5,few clouds
284,Suez,EG,29.9737,32.5263,83.01,35,0,10.11,clear sky
285,Parana,AR,-31.732,-60.5238,67.57,51,23,12.77,few clouds
286,Korla,CN,41.7597,86.1469,65.88,24,65,0.29,broken clouds
287,Nouadhibou,MR,20.931,-17.0347,73.38,78,7,16.11,clear sky
