Hotel ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
646,Brandon,US,69.67,clear sky,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
647,Santa Maria,BR,66.61,clear sky,-29.6842,-53.8069,Hotel Morotin
648,Cancun,MX,73.33,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
649,Labe,GN,75.13,light rain,11.3182,-12.2833,Hôtel Djamtum
652,Marawi,PH,70.81,overcast clouds,7.9986,124.2928,Derogongan Residence
655,Ouro Preto Do Oeste,BR,73.85,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
657,Agaro,ET,71.49,moderate rain,7.85,36.65,
661,Baherden,TM,78.39,clear sky,38.4362,57.4316,
662,Kathmandu,NP,73.62,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
664,Tabuk,PH,75.11,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
665,Ilhabela,BR,72.36,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
675,Les Cayes,HT,79.86,scattered clouds,18.2,-73.75,Villa Orphee
679,Sao Gabriel Da Cachoeira,BR,74.7,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
681,Livingstonia,MW,75.97,clear sky,-10.606,34.1063,Stone House Guest House
683,Meulaboh,ID,78.84,overcast clouds,4.1363,96.1285,Kost Pria
684,Puerto Del Rosario,ES,78.55,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
686,Colares,PT,79.99,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
691,Satipo,PE,70.75,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
693,Unguia,CO,74.21,overcast clouds,8.0434,-77.0945,Residencias El Golfo
